OBJECTID,MXLOCATION,designvolt,status,description,type,Symbol,Shape__Length,GlobalID
190,HAI-TRK-A,220,COMMISSIONED,Hairini - Tarukenga A,TRANSLINE,220 TRANSLINE,39633.3648214313,e85436f5-3877-47d2-9529-a6d9367264ff
191,HAM-MER-A,110,COMMISSIONED,Hamilton - Meremere A,TRANSLINE,110 TRANSLINE,58844.4895442499,36556528-e502-4b9f-95cb-faccdfe55e50
192,HAM-MER-A1-CBL,110,COMMISSIONED,HAM-MER-A Cable Section,CABLE,110 CABLE,857.224254885122,638b2f27-106e-4305-9b04-84793ce38c85
193,HEN-OTA-A,220,COMMISSIONED,Henderson - Otahuhu A,TRANSLINE,220 TRANSLINE,33182.3739895602,f852ccf8-e17a-4540-be5a-11a027ec29aa
194,HLY-OTA-A,220,COMMISSIONED,Huntly - Otahuhu A,TRANSLINE,220 TRANSLINE,76954.6968442372,cf201256-c08d-4e91-8057-426dd0d8758e
195,INV-MAN-A,220,COMMISSIONED,Invercargill - Manapouri A,TRANSLINE,220 TRANSLINE,145846.630038183,136f1006-30e8-4856-bb85-e40073d8f234
196,KHD-TKR-A,33,COMMISSIONED,Khandallah - Takapu Road A,TRANSLINE,33 TRANSLINE,11655.6867693132,d139ff3f-74f3-4cac-9be3-88975af74cf2
197,KWA-WIL-A,110,COMMISSIONED,Kaiwharawhara - Wilton A,TRANSLINE,110 TRANSLINE,3234.93965585922,37e03dd5-845a-494e-8e43-bc93b6b6c2db
198,KWA-WIL-A1-CBL,110,COMMISSIONED,Kaiwharawhara - Wilton A,CABLE,110 CABLE,492.106454128432,661dd86f-c5df-415b-88ad-1d272eb481ae
199,KWA-WIL-A2-CBL,110,COMMISSIONED,Kaiwharawhara - Wilton A,CABLE,110 CABLE,494.178470858231,f3d0d0e9-d7c9-4f86-9e30-a19820696d36
200,MGM-MST-A,110,COMMISSIONED,Mangamaire - Masterton A,TRANSLINE,110 TRANSLINE,56427.5232942304,e831f83b-910c-47fe-99cf-1ee4340da75f
201,MGM-WDV-A,110,COMMISSIONED,Mangamaire - Woodville A,TRANSLINE,110 TRANSLINE,26448.3862208373,8badfb18-8339-4a43-a466-7c0b8a6a0293
202,MNG-OTA-A,110,COMMISSIONED,Mangere - Otahuhu A,TRANSLINE,110 TRANSLINE,3994.63299719912,c04513ad-00fb-4390-962d-18fc9aacc7a0
203,MNG-ROS-A,110,COMMISSIONED,Mangere - Mt Roskill A,TRANSLINE,110 TRANSLINE,12274.8255617062,66580150-623f-4878-b471-987d39e0cdde
204,OTA-PAK-A,220,COMMISSIONED,Otahuhu - Pakuranga A,TRANSLINE,220 TRANSLINE,5886.95791093841,dfbbcd11-91ee-4260-b692-ef19d658ee45
205,OTA-PEN-A,110,COMMISSIONED,Otahuhu - Penrose A,TRANSLINE,110 TRANSLINE,7373.83390953843,4990bd0c-cd19-4b5f-b9b5-51ab2b8b491c
206,OTA-PEN-A1-CBL,110,COMMISSIONED,OTA-PEN-A1-CBL Section,CABLE,110 CABLE,2664.56690733472,a28a3010-d0b0-4aa7-a8fa-bcafb75d83d1
207,OTA-PEN-B,110,COMMISSIONED,Otahuhu - Penrose B,TRANSLINE,110 TRANSLINE,7317.26139341088,8c666e80-0a5c-4100-ad12-cc364ec68cd8
208,OTA-PEN-B-CBL,110,COMMISSIONED,,CABLE,110 CABLE,5367.58957347904,11027a7e-ca11-4c8f-9736-1ce48184a893
209,OTA-PEN-C,220,COMMISSIONED,Otahuhu - Penrose C,TRANSLINE,220 TRANSLINE,10913.0581205298,36693027-4432-46cd-96ef-2df97f561540
210,OTA-WKM-C,220,COMMISSIONED,Otahuhu - Whakamaru C,TRANSLINE,220 TRANSLINE,192292.688522047,f31bc1de-b192-45ca-a213-79db58b5e383
